"","consists_of","constitutes","contained_in","contains","form_of","has_form","has_ingredient","has_part","has_quantified_form","has_tradename","identical","ingredient_of","inverse_isa","isa","more distant","part_of","quantified_form_of","tradename_of","class.error"
"consists_of",435,0,0,0,0,0,0,0,0,2,0,0,0,0,420,0,0,10,0.498269896193772
"constitutes",0,447,0,0,0,0,0,0,0,8,31,0,0,0,368,0,0,0,0.476580796252927
"contained_in",0,0,27,0,0,0,0,0,0,0,4,0,0,0,55,0,0,0,0.686046511627907
"contains",0,0,0,119,0,0,0,0,0,0,4,0,0,0,92,0,0,0,0.446511627906977
"form_of",0,0,0,0,410,0,0,0,0,0,4,0,0,0,14,0,0,0,0.0420560747663551
"has_form",0,0,0,0,0,341,0,0,0,0,3,0,0,0,41,2,0,0,0.118863049095607
"has_ingredient",0,0,0,0,0,0,1365,0,0,0,0,0,0,0,205,0,0,0,0.130573248407643
"has_part",0,0,0,0,0,0,0,189,0,0,0,0,0,0,10,0,0,0,0.050251256281407
"has_quantified_form",0,0,0,0,0,0,0,0,124,0,44,0,1,0,159,0,0,0,0.621951219512195
"has_tradename",1,2,0,0,0,0,0,0,0,1021,68,0,0,0,813,0,0,7,0.466004184100418
"identical",0,2,0,0,1,4,1,0,6,12,27737,2,1,0,4729,0,0,49,0.147707718780728
"ingredient_of",3,1,0,0,0,0,0,0,0,0,3,1186,0,1,209,0,0,1,0.155270655270655
"inverse_isa",0,1,0,0,0,0,0,0,0,0,8,0,193,0,316,0,0,0,0.627413127413127
"isa",0,0,0,0,0,0,0,0,0,0,0,2,0,425,558,0,0,1,0.568965517241379
"more distant",100,6,3,3,3,5,86,2,10,80,928,78,2,99,98529,3,9,44,0.0146114611461146
"part_of",0,0,0,0,0,2,0,0,0,0,0,0,0,0,53,111,0,0,0.331325301204819
"quantified_form_of",0,0,0,0,0,0,0,0,0,0,12,0,0,0,133,0,46,1,0.760416666666667
"tradename_of",17,0,0,0,0,0,0,0,0,4,228,0,0,2,965,0,0,1933,0.386154334709432
