"","consists_of","constitutes","contained_in","contains","form_of","has_form","has_ingredient","has_part","has_quantified_form","has_tradename","identcial","ingredient_of","inverse_isa","isa","more distant","part_of","quantified_form_of","tradename_of","class.error"
"consists_of",478,0,0,0,0,0,0,0,0,1,0,0,0,0,401,0,0,10,0.462921348314607
"constitutes",0,564,0,0,0,0,0,0,0,4,26,0,0,0,360,0,0,0,0.408805031446541
"contained_in",0,0,5,0,0,0,0,0,0,0,1,0,0,0,59,0,0,0,0.923076923076923
"contains",0,0,0,70,0,0,0,0,0,0,8,0,0,0,88,0,0,2,0.583333333333333
"form_of",0,0,0,0,355,0,1,0,0,0,1,0,0,0,35,0,0,0,0.0943877551020408
"has_form",0,0,0,0,1,359,0,0,0,0,1,0,0,0,41,1,0,0,0.109181141439206
"has_ingredient",0,0,0,0,1,0,1275,0,0,0,0,0,0,0,189,0,0,0,0.129692832764505
"has_part",0,0,0,0,0,0,0,221,0,0,0,0,0,0,12,0,0,0,0.0515021459227468
"has_quantified_form",0,0,0,0,0,0,0,0,189,0,64,0,0,0,275,0,0,0,0.642045454545455
"has_tradename",0,1,0,0,0,0,0,0,0,909,83,0,0,2,836,0,0,6,0.505171475231355
"identcial",0,4,0,3,4,4,1,1,6,23,29257,2,2,1,4572,0,3,54,0.137902584200136
"ingredient_of",4,1,0,0,0,0,0,0,0,0,2,1052,0,0,166,1,0,1,0.142624286878566
"inverse_isa",0,2,0,0,0,0,0,0,1,0,8,0,302,0,363,0,0,0,0.553254437869823
"isa",0,0,0,0,0,0,0,0,0,1,1,1,0,376,568,0,0,3,0.60421052631579
"more distant",119,14,1,4,6,8,59,2,19,80,918,62,1,86,98872,8,8,62,0.014522221889982
"part_of",0,0,0,0,0,2,0,0,0,0,0,1,0,0,52,146,0,0,0.27363184079602
"quantified_form_of",0,0,0,0,0,0,0,0,0,0,18,0,0,0,142,0,46,0,0.776699029126214
"tradename_of",17,0,0,0,0,0,0,0,1,3,199,0,0,1,1030,0,0,1848,0.403678606001936
